custid,frequency,monetary,daysincelastorder,mean_prod_in_order,meanqtyofprodinorder,_SEGMENT_
17841,5.111234282,3.204303672,-1.480323447,1.679605803,0.211529193,3
18069,0.67361191,0.853779918,-0.606323106,2.154098977,0.568970385,2
12714,0.67361191,1.490090434,-1.12572162,1.510843901,1.582239809,2
14470,-0.350320719,-0.288087654,-1.051449078,0.386910635,-0.450492632,4
18158,-0.350320719,-0.241453425,-1.12572162,0.201476853,0.255931942,4
13969,2.376376046,2.017315688,-1.20494922,0.916246348,0.51980388,3
13050,2.296506729,1.697747183,-0.948081849,0.527155473,0.435951783,3
12748,5.868277075,2.997622448,-1.533130973,0.346963323,-0.235318216,3
14646,4.323711194,4.75382625,-1.480323447,0.768574467,3.235453732,3
12667,-0.949282909,-0.361647049,0.000524312,0.86979576,0.991714957,4
14710,0.404282399,-0.108533369,-0.948081849,0.904791111,-0.508357251,4
14535,0.074649719,1.141583931,0.029858487,2.378867056,1.557549027,2
12678,1.428215028,2.45355347,-0.264564363,0.090341536,2.236084398,3
16770,0.67361191,0.090694585,-0.01441895,0.729956978,-0.540260795,4
14030,1.272574101,0.988188752,-0.822916325,0.705982857,0.208484426,3
17220,2.027177219,1.186413263,-0.65688281,0.849359317,-0.153842296,3
13536,1.098582347,1.248916944,-1.480323447,0.548804303,0.707727227,3
14572,1.098582347,1.100967468,-1.381268286,0.948420604,0.32860899,3
17920,2.296506729,1.428250276,-1.33467511,1.063102027,0.008862188,3
14125,0.074649719,1.019627718,-1.088005,1.45424142,1.346755181,2
17663,1.098582347,0.779967621,-0.631334003,-0.244348705,-0.255508294,3
15704,0.404282399,0.916226839,0.838722577,0.692466854,0.561812886,2
14227,1.569009372,1.222307828,-0.606323106,0.101900442,0.202063044,3
17722,0.404282399,0.921210706,0.462239792,0.745693322,1.062470196,2
16019,1.428215028,1.374493082,-0.192543905,0.090341536,0.26755519,3
14083,0.901326766,0.271608378,-1.33467511,0.736974856,-0.533091285,3
16746,2.376376046,1.761959507,-1.33467511,0.500600453,0.541082794,3
14534,2.376376046,1.418912233,-1.429763743,0.633767872,-0.379142449,3
14978,0.67361191,0.793760585,0.192106634,1.156696775,-0.402465943,2
14052,-0.949282909,-0.862689321,-0.79358215,1.604679851,-0.554740548,4
17590,0.074649719,0.572832196,-1.429763743,1.690433553,0.579838726,2
17059,0.67361191,1.150995862,-0.534302648,2.20831403,0.861699331,2
15601,2.027177219,1.728137803,-1.051449078,0.692466854,0.894536848,3
15544,1.428215028,1.233221581,-1.12572162,0.595254891,0.838465104,3
16438,0.67361191,0.073122624,-1.289840592,0.44758301,-0.61155738,3
14298,3.548154214,3.384221095,-1.164675067,1.076045576,2.405043311,3
15955,1.697544538,1.469743864,-0.65688281,0.079741886,0.314881786,3
15752,1.098582347,1.016570547,-0.321598054,1.505925087,0.608132061,2
15912,-0.350320719,-0.666313123,1.089053625,-0.533407238,-0.405009424,1
